"Name","State","User","algo_name","env_name","task_variant","eval_ep_reward_means_mean","total_timesteps","trial_completed","Runtime","Created","eval_every_n_steps","seed","trial_num","N_TRIALS","SEED_OFFSET","worker_id","trial_number","parallelism","num_final_eval_batches","num_of_trial_repeats","os","task_configs.allergic_prob","task_configs.allergic_tastiness","task_configs.episode_step_count","task_configs.love_prob","task_configs.love_tastiness","trial_offset","eval_ep_batch_limit","parallelism_override"
"iconic-sea-149","finished","atomictwoandrei","RecurrentPPO","MatchingPairs","standard","0","500000","true","13129","2023-10-13T18:04:59.000Z","2083","4","4","","","","","single_agent","","2","linux","","","","","","3","10","single_agent"
"vital-cherry-139","finished","atomictwoandrei","DQN","MatchingPairs","standard","1.4166666666666667","500000","true","10353","2023-10-13T14:29:29.000Z","2083","4","4","","","","","single_agent","","1","linux","","","","","","4","10","single_agent"
"drawn-yogurt-138","finished","atomictwoandrei","RecurrentPPO","MatchingPairs","standard","0","500000","true","12992","2023-10-13T14:28:25.000Z","2083","3","3","","","","","single_agent","","2","linux","","","","","","3","10","single_agent"
"quiet-moon-137","finished","atomictwoandrei","PPO","MatchingPairs","standard","0","500000","true","10467","2023-10-13T14:27:53.000Z","2083","4","4","","","","","single_agent","","1","linux","","","","","","4","10","single_agent"
"revived-fog-132","finished","atomictwoandrei","RecurrentPPO","MatchingPairs","standard","0","500000","true","12734","2023-10-13T08:14:55.000Z","2083","2","2","","","","","single_agent","","4","linux","","","","","","1","10","single_agent"
"effortless-breeze-129","finished","atomictwoandrei","PPO","MatchingPairs","standard","0","500000","true","10453","2023-10-13T07:43:39.000Z","2083","3","3","","","","","single_agent","","3","linux","","","","","","2","10","single_agent"
"noble-dust-128","finished","atomictwoandrei","DQN","MatchingPairs","standard","0.875","500000","true","10368","2023-10-13T07:43:13.000Z","2083","3","3","","","","","single_agent","","3","linux","","","","","","2","10","single_agent"
"electric-bush-125","finished","atomictwoandrei","A2C","MatchingPairs","standard","0.020833333333333332","500000","true","10527","2023-10-13T04:50:48.000Z","2083","4","4","","","","","single_agent","","1","linux","","","","","","4","10","single_agent"
"radiant-fire-124","finished","atomictwoandrei","PPO","MatchingPairs","standard","0","500000","true","10399","2023-10-13T04:50:18.000Z","2083","2","2","","","","","single_agent","","3","linux","","","","","","2","10","single_agent"
"cerulean-firebrand-123","finished","atomictwoandrei","RecurrentPPO","MatchingPairs","standard","0","500000","true","12321","2023-10-13T04:49:32.000Z","2083","1","1","","","","","single_agent","","4","linux","","","","","","1","10","single_agent"
"classic-morning-118","finished","atomictwoandrei","DQN","MatchingPairs","standard","0.14583333333333334","500000","true","10468","2023-10-13T04:48:43.000Z","2083","2","2","","","","","single_agent","","3","linux","","","","","","2","10","single_agent"
"confused-resonance-106","finished","atomictwoandrei","DQN","MatchingPairs","standard","0.22916666666666663","500000","true","10297","2023-10-12T20:55:36.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"fast-planet-104","finished","atomictwoandrei","PPO","MatchingPairs","standard","0.041666666666666664","500000","true","10332","2023-10-12T20:52:01.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"deft-sponge-103","finished","atomictwoandrei","A2C","MatchingPairs","standard","0","500000","true","10607","2023-10-12T20:40:23.000Z","2083","3","3","","","","","single_agent","","3","linux","","","","","","2","10","single_agent"
"leafy-serenity-99","finished","atomictwoandrei","DQN","MatchingPairs","standard","0","500000","true","10462","2023-10-12T18:01:11.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"polar-vortex-98","finished","atomictwoandrei","RecurrentPPO","MatchingPairs","standard","0","500000","true","13253","2023-10-12T17:59:59.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"graceful-dew-97","finished","atomictwoandrei","PPO","MatchingPairs","standard","0","500000","true","10353","2023-10-12T17:59:26.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"fine-smoke-94","finished","atomictwoandrei","A2C","MatchingPairs","standard","0.020833333333333332","500000","true","10570","2023-10-12T17:44:11.000Z","2083","2","2","","","","","single_agent","","3","linux","","","","","","2","10","single_agent"
